Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,PlayerID
597,Zack MacEwen,26,2TM,C,56,4,6,10,-11,66,4,0,0,3,6,0,0,73,5.5,137,648:09,11:34,15,14,51.7,29,150,13,13,,macewza01
597,Zack MacEwen,26,PHI,C,46,4,5,9,-9,54,4,0,0,3,5,0,0,63,6.3,121,566:17,12:19,13,13,50.0,23,130,9,10,,macewza01
597,Zack MacEwen,26,LAK,C,10,0,1,1,-2,12,0,0,0,0,1,0,0,10,0.0,16,81:52,8:11,2,1,66.7,6,20,4,3,,macewza01
598,Jan Rutta,32,PIT,D,56,3,6,9,3,30,3,0,0,0,6,0,0,64,4.7,140,958:44,17:07,0,0,,70,71,13,21,,ruttaja02
599,Devin Shore,28,EDM,C,47,1,8,9,6,4,1,0,0,0,8,0,0,33,3.0,61,421:21,8:58,89,86,50.9,24,46,14,12,,shorede01
600,Victor Söderström,21,ARI,D,30,0,9,9,-3,24,0,0,0,0,6,3,0,31,0.0,78,485:09,16:10,0,0,,39,17,3,22,,sodervi01
601,Kevin Stenlund,26,WPG,C,54,6,3,9,3,20,4,0,2,0,3,0,0,63,9.5,117,628:50,11:39,280,246,53.2,28,31,25,12,,stenlke01
602,Rasmus Asplund,25,2TM,F,46,2,6,8,-6,4,1,0,1,0,6,0,0,54,3.7,76,504:16,10:58,22,33,40.0,11,23,8,4,,asplura01
602,Rasmus Asplund,25,BUF,F,27,2,6,8,0,0,1,0,1,0,6,0,0,33,6.1,47,306:04,11:20,22,33,40.0,8,10,4,0,,asplura01
602,Rasmus Asplund,25,NSH,F,19,0,0,0,-6,4,0,0,0,0,0,0,0,21,0.0,29,198:12,10:26,0,0,,3,13,4,4,,asplura01
603,Kevin Bahl,22,NJD,D,42,2,6,8,4,35,2,0,0,0,6,0,0,27,7.4,79,588:51,14:01,0,0,,38,64,8,12,,bahlke01
604,Anders Bjork,26,2TM,LW,14,2,6,8,4,2,2,0,0,0,6,0,0,15,13.3,27,193:35,13:50,0,2,0.0,4,8,6,10,,bjorkan01
604,Anders Bjork,26,CHI,LW,13,2,6,8,4,2,2,0,0,0,6,0,0,14,14.3,25,183:57,14:09,0,2,0.0,4,8,5,10,,bjorkan01
604,Anders Bjork,26,BUF,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2,9:38,9:38,0,0,,0,0,1,0,,bjorkan01
605,Philip Broberg,21,EDM,D,46,1,7,8,6,2,1,0,0,0,7,0,0,32,3.1,72,579:46,12:36,0,0,,35,28,12,26,,brobeph01
606,Jack Drury,22,CAR,C,38,2,6,8,3,14,2,0,0,1,5,1,0,69,2.9,109,409:50,10:47,67,59,53.2,16,12,9,6,,druryja01
607,Michael Eyssimont,26,3TM,C,54,5,10,15,3,63,5,0,0,0,10,0,0,124,4.0,216,661:42,12:15,12,22,35.3,19,107,29,15,,eyssimi01
607,Michael Eyssimont,26,SJS,C,20,3,5,8,1,34,3,0,0,0,5,0,0,67,4.5,105,296:44,14:50,2,5,28.6,8,37,15,9,,eyssimi01
607,Michael Eyssimont,26,WPG,C,19,1,4,5,5,7,1,0,0,0,4,0,0,26,3.8,51,193:44,10:12,1,3,25.0,7,36,7,1,,eyssimi01
607,Michael Eyssimont,26,TBL,C,15,1,1,2,-3,22,1,0,0,0,1,0,0,31,3.2,60,171:14,11:25,9,14,39.1,4,34,7,5,,eyssimi01
608,Ben Hutton,29,VEG,D,31,3,5,8,1,6,3,0,0,0,4,1,0,52,5.8,94,495:49,15:60,0,0,,34,18,14,7,,huttobe01
609,Erik Johnson,34,COL,D,63,0,8,8,8,12,0,0,0,0,7,0,1,98,0.0,182,1087:02,17:15,0,0,,102,121,16,17,,johnser01
610,Gustav Lindström,24,DET,D,36,1,7,8,-16,20,1,0,0,0,7,0,0,18,5.6,49,510:06,14:10,0,0,,34,39,1,17,,lindsgu01
611,Jayson Megna,32,2TM,C,55,2,6,8,-21,6,2,0,0,0,6,0,0,36,5.6,64,550:16,10:00,146,133,52.3,23,47,10,6,,megnaja01
611,Jayson Megna,32,ANA,C,41,2,6,8,-19,4,2,0,0,0,6,0,0,32,6.3,58,448:10,10:56,110,98,52.9,21,27,10,4,,megnaja01
611,Jayson Megna,32,COL,C,14,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,6,102:06,7:18,36,35,50.7,2,20,0,2,,megnaja01
612,Ian Mitchell,24,CHI,D,35,1,7,8,-8,8,1,0,0,0,6,1,0,25,4.0,50,554:22,15:50,0,0,,37,16,8,14,,mitchia01
613,Jacob Peterson,23,2TM,C,12,2,6,8,-12,4,0,2,0,0,6,0,0,21,9.5,44,209:16,17:26,1,1,50.0,5,12,0,3,,peterja01
613,Jacob Peterson,23,SJS,C,11,2,6,8,-10,4,0,2,0,0,6,0,0,20,10.0,41,196:57,17:54,1,1,50.0,4,12,0,3,,peterja01
613,Jacob Peterson,23,DAL,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,3,12:19,12:19,0,0,,1,0,0,0,,peterja01
614,Brett Ritchie,29,2TM,RW,50,8,5,13,0,25,8,0,0,0,4,1,0,68,11.8,111,502:31,10:03,2,2,50.0,9,77,10,18,,ritchbr01
614,Brett Ritchie,29,CGY,RW,34,6,2,8,2,23,6,0,0,0,2,0,0,46,13.0,69,319:43,9:24,2,1,66.7,5,58,9,10,,ritchbr01
614,Brett Ritchie,29,ARI,RW,16,2,3,5,-2,2,2,0,0,0,2,1,0,22,9.1,42,182:48,11:26,0,1,0.0,4,19,1,8,,ritchbr01
615,Dylan Samberg,24,WPG,D,63,2,6,8,10,25,2,0,0,0,5,0,1,49,4.1,117,940:20,14:56,0,0,,93,91,20,39,,sambedy01
616,Lukáš Sedlák,29,2TM,C,30,3,5,8,4,12,3,0,0,0,4,0,1,44,6.8,61,366:08,12:12,88,102,46.3,31,58,4,6,,sedlalu01
616,Lukáš Sedlák,29,PHI,C,27,3,5,8,3,12,3,0,0,0,4,0,1,43,7.0,60,343:03,12:42,84,92,47.7,27,53,4,4,,sedlalu01
616,Lukáš Sedlák,29,COL,C,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,23:05,7:42,4,10,28.6,4,5,0,2,,sedlalu01
617,Elmer Söderblom,21,DET,RW,21,5,3,8,0,8,5,0,0,2,3,0,0,30,16.7,46,253:32,12:04,1,3,25.0,11,21,9,3,,soderel01
618,Jack Studnicka,23,2TM,C,48,4,4,8,-12,16,4,0,0,1,4,0,0,65,6.2,108,508:33,10:36,77,84,47.8,19,61,17,6,,studnja01
618,Jack Studnicka,23,VAN,C,47,4,4,8,-11,12,4,0,0,1,4,0,0,65,6.2,108,500:32,10:39,77,82,48.4,19,61,17,6,,studnja01
618,Jack Studnicka,23,BOS,C,1,0,0,0,-1,4,0,0,0,0,0,0,0,0,,0,8:01,8:01,0,2,0.0,0,0,0,0,,studnja01
619,Jarred Tinordi,30,CHI,D,44,2,6,8,-17,40,2,0,0,1,6,0,0,32,6.3,78,724:08,16:27,0,0,,68,139,11,20,,tinorja01
620,Zach Werenski,25,CBJ,D,13,3,5,8,-6,0,3,0,0,0,3,2,0,41,7.3,77,306:45,23:36,0,0,,24,5,14,9,,werenza01
621,Nikita Alexandrov,22,STL,C,28,3,4,7,0,8,3,0,0,0,4,0,0,28,10.7,43,274:46,9:49,53,97,35.3,13,28,3,4,,alexani01
622,Josh Brown,29,ARI,D,68,4,3,7,-18,87,4,0,0,0,3,0,0,68,5.9,128,1071:53,15:46,0,0,,118,152,10,29,,brownjo01
623,Patrick Brown,30,2TM,C,61,4,8,12,-2,44,3,0,1,0,8,0,0,60,6.7,122,694:02,11:23,178,161,52.5,42,167,9,13,,brownpa02
623,Patrick Brown,30,PHI,C,43,2,5,7,-6,17,1,0,1,0,5,0,0,44,4.5,83,493:40,11:29,156,134,53.8,33,125,4,9,,brownpa02
623,Patrick Brown,30,OTT,C,18,2,3,5,4,27,2,0,0,0,3,0,0,16,12.5,39,200:22,11:08,22,27,44.9,9,42,5,4,,brownpa02
624,Sam Carrick,30,ANA,C,52,3,4,7,-17,86,3,0,0,0,4,0,0,50,6.0,85,549:24,10:34,182,187,49.3,24,98,13,9,,carrisa01
625,Tyson Foerster,21,PHI,RW,8,3,4,7,2,8,3,0,0,0,3,1,0,15,20.0,27,132:32,16:34,0,0,,10,12,1,1,,foersty01
626,Jonah Gadjovich,24,SJS,LW,35,3,4,7,-3,57,3,0,0,0,4,0,0,32,9.4,55,314:42,8:59,1,3,25.0,5,92,10,13,,gadjojo01
627,Jordan Greenway,25,2TM,LW,62,6,5,11,-6,26,6,0,0,0,5,0,0,99,6.1,190,837:18,13:30,2,12,14.3,39,107,12,13,,greenjo02
627,Jordan Greenway,25,MIN,LW,45,2,5,7,-3,26,2,0,0,0,5,0,0,68,2.9,135,598:22,13:18,2,6,25.0,26,79,10,11,,greenjo02
627,Jordan Greenway,25,BUF,LW,17,4,0,4,-3,0,4,0,0,0,0,0,0,31,12.9,55,238:56,14:03,0,6,0.0,13,28,2,2,,greenjo02
628,Robert Hägg,27,DET,D,38,2,5,7,-5,26,2,0,0,0,5,0,0,40,5.0,83,589:47,15:31,0,0,,47,111,4,14,,haggro01
629,Scott Harrington,29,2TM,D,45,4,7,11,-6,10,4,0,0,1,7,0,0,33,12.1,84,739:43,16:26,0,0,,78,51,5,10,,harrisc01
629,Scott Harrington,29,SJS,D,28,1,6,7,-7,8,1,0,0,1,6,0,0,22,4.5,58,428:10,15:18,0,0,,47,40,5,2,,harrisc01
629,Scott Harrington,29,ANA,D,17,3,1,4,1,2,3,0,0,0,1,0,0,11,27.3,26,311:33,18:20,0,0,,31,11,0,8,,harrisc01
630,Jakub Lauko,22,BOS,C,23,4,3,7,2,11,4,0,0,1,3,0,0,17,23.5,33,203:53,8:52,0,4,0.0,6,44,7,6,,laukoja01
631,Jakob Pelletier,21,CGY,LW,24,3,4,7,-5,2,1,2,0,1,3,1,0,48,6.3,84,340:26,14:11,2,6,25.0,14,15,12,10,,pelleja01
632,Vasily Podkolzin,21,VAN,RW,39,4,3,7,-5,9,4,0,0,0,3,0,0,41,9.8,70,461:40,11:50,7,9,43.8,15,52,8,16,,podkova01
633,Troy Stecher,28,2TM,D,81,3,11,14,-6,44,3,0,0,1,11,0,0,88,3.4,181,1325:52,16:22,0,0,,92,70,21,38,,stechtr01
633,Troy Stecher,28,CGY,D,20,3,4,7,-3,15,3,0,0,1,4,0,0,26,11.5,62,290:07,14:30,0,0,,7,13,2,11,,stechtr01
633,Troy Stecher,28,ARI,D,61,0,7,7,-3,29,0,0,0,0,7,0,0,62,0.0,119,1035:45,16:59,0,0,,85,57,19,27,,stechtr01
634,Chris Tierney,28,2TM,C,36,3,7,10,-8,6,3,0,0,0,6,0,1,19,15.8,36,391:04,10:52,111,125,47.0,21,15,13,11,,tiernch01
634,Chris Tierney,28,MTL,C,23,1,6,7,-7,4,1,0,0,0,5,0,1,13,7.7,21,281:02,12:13,84,103,44.9,14,4,9,9,,tiernch01
634,Chris Tierney,28,FLA,C,13,2,1,3,-1,2,2,0,0,0,1,0,0,6,33.3,15,110:02,8:28,27,22,55.1,7,11,4,2,,tiernch01
635,Filip Zadina,23,DET,RW,30,3,4,7,-5,10,3,0,0,2,4,0,0,51,5.9,82,392:54,13:06,2,4,33.3,15,22,16,14,,zadinfi01
636,Joey Anderson,24,2TM,RW,38,6,3,9,-8,0,6,0,0,1,3,0,0,41,14.6,90,444:30,11:42,0,2,0.0,17,36,20,11,,anderjo08
636,Joey Anderson,24,CHI,RW,24,4,2,6,-9,0,4,0,0,1,2,0,0,28,14.3,64,310:25,12:56,0,2,0.0,11,19,13,9,,anderjo08
636,Joey Anderson,24,TOR,RW,14,2,1,3,1,0,2,0,0,0,1,0,0,13,15.4,26,134:05,9:35,0,0,,6,17,7,2,,anderjo08
637,Jake Bean,24,CBJ,D,14,1,5,6,-2,6,1,0,0,0,4,1,0,16,6.3,32,219:51,15:42,0,0,,21,13,8,3,,beanja01
638,Logan Brown,24,STL,C,30,2,4,6,-4,8,2,0,0,0,4,0,0,18,11.1,33,312:06,10:24,58,110,34.5,7,22,7,5,,brownlo01
639,Luke Glendening,33,DAL,C,70,3,3,6,-9,50,1,0,2,0,3,0,0,65,4.6,136,844:22,12:04,359,249,59.0,60,114,11,8,,glendlu01
640,Alex Goligoski,37,MIN,D,46,2,4,6,-9,16,2,0,0,2,3,1,0,63,3.2,116,812:40,17:40,0,0,,67,33,9,17,,goligal01
641,David Gustafsson,22,WPG,C,46,0,6,6,2,6,0,0,0,0,5,0,1,45,0.0,72,464:29,10:06,103,106,49.3,18,25,14,9,,gustada01
642,Cole Guttman,23,CHI,C,14,4,2,6,1,2,4,0,0,1,2,0,0,26,15.4,42,203:51,14:34,88,81,52.1,8,4,12,11,,guttmco01
643,Ben Harpur,28,NYR,D,42,1,5,6,0,20,1,0,0,0,5,0,0,34,2.9,77,590:42,14:04,0,0,,57,63,13,23,,harpube01
644,Reese Johnson,24,CHI,F,57,4,2,6,-15,38,4,0,0,1,2,0,0,54,7.4,90,627:39,11:01,120,106,53.1,23,178,13,7,,johnsre01
645,Vitali Kravtsov,23,2TM,RW,44,4,4,8,3,10,3,1,0,0,2,2,0,43,9.3,83,493:08,11:12,0,3,0.0,15,28,12,7,,kravtvi01
645,Vitali Kravtsov,23,NYR,RW,28,3,3,6,6,6,3,0,0,0,2,1,0,26,11.5,53,319:44,11:25,0,3,0.0,8,11,8,6,,kravtvi01
645,Vitali Kravtsov,23,VAN,RW,16,1,1,2,-3,4,0,1,0,0,0,1,0,17,5.9,30,173:24,10:50,0,0,,7,17,4,1,,kravtvi01
646,Brendan Lemieux,26,2TM,LW,45,2,7,9,-3,74,2,0,0,0,7,0,0,44,4.5,79,458:10,10:11,7,7,50.0,15,131,6,6,,lemiebr01
646,Brendan Lemieux,26,PHI,LW,18,2,4,6,3,21,2,0,0,0,4,0,0,22,9.1,36,228:46,12:43,3,3,50.0,7,52,2,5,,lemiebr01
646,Brendan Lemieux,26,LAK,LW,27,0,3,3,-6,53,0,0,0,0,3,0,0,22,0.0,43,229:24,8:30,4,4,50.0,8,79,4,1,,lemiebr01
647,Kurtis MacDermid,28,COL,D,44,1,5,6,-1,55,1,0,0,1,5,0,0,20,5.0,51,366:37,8:20,0,1,0.0,31,86,6,8,,macdeku01
648,Jacob MacDonald,29,2TM,D,58,1,7,8,-14,23,1,0,0,0,6,1,0,75,1.3,140,698:17,12:02,0,0,,43,69,10,34,,macdoja02
648,Jacob MacDonald,29,SJS,D,25,1,5,6,-11,12,1,0,0,0,4,1,0,46,2.2,81,412:20,16:30,0,0,,29,40,8,22,,macdoja02
648,Jacob MacDonald,29,COL,D,33,0,2,2,-3,11,0,0,0,0,2,0,0,29,0.0,59,285:57,8:40,0,0,,14,29,2,12,,macdoja02
649,Daniil Miromanov,25,VEG,D,14,2,4,6,-6,2,1,1,0,0,2,2,0,22,9.1,47,238:29,17:02,0,0,,13,7,1,6,,miromda01
650,Jakub Voráček,33,CBJ,RW,11,1,5,6,-7,0,0,1,0,0,5,0,0,17,5.9,27,175:33,15:58,1,2,33.3,7,2,4,1,,voracja01
651,Colton White,25,ANA,D,46,0,6,6,-17,8,0,0,0,0,6,0,0,30,0.0,57,668:26,14:32,0,0,,37,34,7,12,,whiteco03
652,Chris Wideman,33,MTL,D,46,0,6,6,-6,81,0,0,0,0,4,2,0,31,0.0,67,621:33,13:31,0,0,,51,25,7,37,,widemch01
653,Alexander Alexeyev,23,WSH,D,32,0,5,5,-2,4,0,0,0,0,5,0,0,28,0.0,72,526:33,16:27,0,0,,48,33,3,16,,alexeal01
654,Zach Bogosian,32,TBL,D,46,1,4,5,-4,42,1,0,0,0,4,0,0,54,1.9,117,688:51,14:59,1,0,100.0,50,114,5,25,,bogosza01
655,Robert Bortuzzo,33,STL,D,43,2,3,5,9,29,2,0,0,0,3,0,0,30,6.7,59,540:22,12:34,0,0,,49,64,7,12,,borturo01
656,Kyle Burroughs,27,VAN,D,48,2,3,5,-4,62,2,0,0,0,3,0,0,47,4.3,92,833:25,17:22,0,1,0.0,84,165,5,13,,burroky01
657,Austin Czarnik,30,DET,C,29,3,2,5,-4,8,3,0,0,0,1,1,0,27,11.1,47,324:00,11:10,69,91,43.1,13,16,13,4,,czarnau01
658,Vincent Desharnais,26,EDM,D,36,0,5,5,15,31,0,0,0,0,4,0,1,17,0.0,48,487:39,13:33,0,0,,48,45,5,16,,deshavi01
659,Jansen Harkins,25,WPG,C,22,3,2,5,4,12,3,0,0,0,2,0,0,18,16.7,40,238:02,10:49,2,7,22.2,11,16,7,8,,harkija01
660,Matt Irwin,35,WSH,D,61,2,3,5,-8,36,2,0,0,0,3,0,0,79,2.5,140,795:20,13:02,0,0,,75,117,9,18,,irwinma01
661,Martin Kaut,23,2TM,RW,36,4,4,8,-4,4,3,1,0,1,4,0,0,44,9.1,88,374:27,10:24,2,4,33.3,5,23,12,4,,kautma01
661,Martin Kaut,23,SJS,RW,9,3,2,5,-2,0,2,1,0,0,2,0,0,20,15.0,33,127:41,14:11,0,0,,0,8,6,3,,kautma01
661,Martin Kaut,23,COL,RW,27,1,2,3,-2,4,1,0,0,1,2,0,0,24,4.2,55,246:46,9:08,2,4,33.3,5,15,6,1,,kautma01
662,Curtis Lazar,27,2TM,C,49,3,2,5,-6,21,3,0,0,0,2,0,0,55,5.5,86,584:34,11:56,140,132,51.5,53,138,15,5,,lazarcu01
662,Curtis Lazar,27,VAN,C,45,3,2,5,-5,14,3,0,0,0,2,0,0,54,5.6,82,547:27,12:10,134,124,51.9,49,124,14,5,,lazarcu01
662,Curtis Lazar,27,NJD,C,4,0,0,0,-1,7,0,0,0,0,0,0,0,1,0.0,4,37:07,9:17,6,8,42.9,4,14,1,0,,lazarcu01
663,Patrik Nemeth,30,ARI,D,75,0,5,5,-7,30,0,0,0,0,5,0,0,62,0.0,139,1332:51,17:46,0,0,,118,116,13,30,,nemetpa01
664,Tanner Pearson,30,VAN,LW,14,1,4,5,-9,21,1,0,0,0,3,1,0,17,5.9,30,188:55,13:30,7,11,38.9,3,20,5,1,,pearsta01
665,Isaak Phillips,21,CHI,D,16,1,4,5,-10,5,1,0,0,0,4,0,0,16,6.3,37,247:22,15:28,0,0,,6,27,11,8,,phillis01
666,Anthony Richard,26,MTL,C,13,3,2,5,2,6,3,0,0,1,2,0,0,13,23.1,25,129:28,9:58,1,3,25.0,3,25,2,2,,richaan01
667,Nicholas Robertson,21,TOR,LW,15,2,3,5,2,0,2,0,0,1,3,0,0,27,7.4,48,163:16,10:53,2,1,66.7,7,18,7,5,,roberni01
668,Chad Ruhwedel,32,PIT,D,47,1,4,5,-4,18,1,0,0,0,4,0,0,36,2.8,97,684:43,14:34,0,0,,51,90,14,10,,ruhwech01
669,Brendan Smith,33,NJD,D,60,0,5,5,3,63,0,0,0,0,4,0,1,58,0.0,128,933:12,15:33,0,0,,76,102,25,31,,smithbr05
670,Riley Stillman,24,2TM,D,50,1,7,8,-13,36,1,0,0,0,7,0,0,37,2.7,105,732:07,14:39,0,0,,44,81,6,14,,stillri01
670,Riley Stillman,24,VAN,D,32,0,5,5,-14,23,0,0,0,0,5,0,0,29,0.0,71,515:18,16:06,0,0,,34,52,5,7,,stillri01
670,Riley Stillman,24,BUF,D,18,1,2,3,1,13,1,0,0,0,2,0,0,8,12.5,34,216:49,12:03,0,0,,10,29,1,7,,stillri01
671,Nikita Zaitsev,31,2TM,D,46,1,7,8,-9,20,1,0,0,0,7,0,0,20,5.0,50,757:20,16:28,0,0,,72,95,7,23,,zaitsni01
671,Nikita Zaitsev,31,OTT,D,28,0,5,5,-5,8,0,0,0,0,5,0,0,10,0.0,28,482:18,17:14,0,0,,43,61,3,13,,zaitsni01
671,Nikita Zaitsev,31,CHI,D,18,1,2,3,-4,12,1,0,0,0,2,0,0,10,10.0,22,275:02,15:17,0,0,,29,34,4,10,,zaitsni01
672,Rūdolfs Balcers,25,2TM,LW,17,3,2,5,-1,4,3,0,0,0,2,0,0,24,12.5,38,173:29,10:12,0,2,0.0,4,7,2,4,,balceru01
672,Rūdolfs Balcers,25,FLA,LW,14,2,2,4,-2,4,2,0,0,0,2,0,0,21,9.5,32,152:51,10:55,0,2,0.0,4,7,2,4,,balceru01
672,Rūdolfs Balcers,25,TBL,LW,3,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,6,20:38,6:53,0,0,,0,0,0,0,,balceru01
673,Nathan Beaulieu,30,ANA,D,52,0,4,4,-23,39,0,0,0,0,4,0,0,33,0.0,79,792:08,15:14,0,0,,80,49,10,16,,beaulna01
674,Jake Christiansen,23,CBJ,D,24,0,4,4,-7,4,0,0,0,0,3,1,0,25,0.0,55,365:19,15:13,0,0,,23,20,7,7,,chrisja01
675,Nick Cicek,22,SJS,D,16,0,4,4,-7,15,0,0,0,0,4,0,0,3,0.0,21,230:40,14:25,0,0,,21,28,2,6,,cicekni01
676,Kale Clague,24,BUF,D,33,0,4,4,-3,24,0,0,0,0,4,0,0,24,0.0,51,498:26,15:06,0,0,,24,24,7,12,,claguka01
677,Zac Dalpe,33,FLA,RW,14,2,2,4,-4,2,2,0,0,0,2,0,0,17,11.8,25,117:37,8:24,25,17,59.5,6,15,2,0,,dalpeza01
678,Callan Foote,24,2TM,D,50,2,5,7,6,63,2,0,0,0,5,0,0,39,5.1,84,756:07,15:07,0,0,,52,58,8,16,,footeca01
678,Callan Foote,24,NSH,D,24,1,3,4,3,35,1,0,0,0,3,0,0,18,5.6,41,386:55,16:07,0,0,,32,18,1,12,,footeca01
678,Callan Foote,24,TBL,D,26,1,2,3,3,28,1,0,0,0,2,0,0,21,4.8,43,369:12,14:12,0,0,,20,40,7,4,,footeca01
679,Jesper Frödén,28,SEA,F,14,0,4,4,4,6,0,0,0,0,4,0,0,10,0.0,20,139:57,9:60,0,0,,6,11,7,5,,frodeje01
680,Dennis Gilbert,26,CGY,D,23,1,3,4,0,27,1,0,0,1,3,0,0,13,7.7,36,270:00,11:44,0,0,,26,55,3,8,,gilbede01
681,Alexander Holtz,21,NJD,RW,19,3,1,4,-6,8,1,2,0,0,1,0,0,21,14.3,47,195:09,10:16,0,0,,4,6,3,7,,holtzal01
682,Jack Johnson,36,2TM,D,83,2,6,8,-15,28,2,0,0,0,4,0,2,92,2.2,173,1588:53,19:09,0,1,0.0,127,117,16,40,,johnsja02
682,Jack Johnson,36,CHI,D,58,0,4,4,-25,16,0,0,0,0,3,0,1,63,0.0,123,1150:12,19:50,0,1,0.0,96,75,8,31,,johnsja02
682,Jack Johnson,36,COL,D,25,2,2,4,10,12,2,0,0,0,1,0,1,29,6.9,50,438:41,17:33,0,0,,31,42,8,9,,johnsja02
683,Parker Kelly,23,OTT,F,55,1,3,4,-9,37,1,0,0,1,2,0,1,59,1.7,101,577:57,10:30,5,6,45.5,25,172,18,12,,kellypa01
684,Matt Kiersted,24,FLA,D,20,1,3,4,4,6,1,0,0,0,3,0,0,14,7.1,37,196:53,9:51,0,0,,7,13,1,7,,kiersma01
685,Karson Kuhlman,27,2TM,C,47,3,4,7,-4,8,3,0,0,2,4,0,0,48,6.3,114,556:39,11:51,0,5,0.0,18,41,15,12,,kuhlmka01
685,Karson Kuhlman,27,WPG,C,33,2,2,4,-7,8,2,0,0,1,2,0,0,35,5.7,89,420:48,12:45,0,5,0.0,12,33,8,8,,kuhlmka01
685,Karson Kuhlman,27,SEA,C,14,1,2,3,3,0,1,0,0,1,2,0,0,13,7.7,25,135:51,9:42,0,0,,6,8,7,4,,kuhlmka01
686,Tanner Laczynski,25,PHI,C,32,2,2,4,-5,2,2,0,0,0,2,0,0,23,8.7,44,304:45,9:31,50,47,51.5,10,30,10,3,,laczyta01
687,Matt Luff,25,DET,RW,19,2,2,4,-4,0,2,0,0,0,2,0,0,20,10.0,39,187:40,9:53,0,2,0.0,9,22,6,3,,luffma01
688,Connor Mackey,26,2TM,D,30,3,4,7,-4,48,3,0,0,0,4,0,0,31,9.7,64,421:25,14:03,0,0,,29,61,5,19,,mackeco01
688,Connor Mackey,26,ARI,D,20,1,3,4,2,39,1,0,0,0,3,0,0,23,4.3,44,318:31,15:56,0,0,,24,50,3,14,,mackeco01
688,Connor Mackey,26,CGY,D,10,2,1,3,-6,9,2,0,0,0,1,0,0,8,25.0,20,102:54,10:17,0,0,,5,11,2,5,,mackeco01
689,Michael McCarron,27,NSH,RW,32,2,2,4,-3,24,2,0,0,0,1,0,1,39,5.1,72,337:21,10:33,63,43,59.4,20,75,7,2,,mccarmi01
690,Ben Meyers,24,COL,F,39,4,0,4,-6,6,4,0,0,0,0,0,0,33,12.1,60,374:16,9:36,96,91,51.3,13,25,11,3,,meyerbe01
691,Fredrik Olofsson,26,DAL,LW,28,1,3,4,0,2,1,0,0,1,3,0,0,34,2.9,58,285:45,10:12,3,5,37.5,8,32,7,4,,olofsfr01
692,Robin Salo,24,NYI,D,11,2,2,4,1,4,2,0,0,0,2,0,0,9,22.2,19,122:56,11:11,0,0,,13,6,1,6,,saloro01
693,Givani Smith,24,2TM,RW,36,1,3,4,-2,72,1,0,0,0,3,0,0,30,3.3,60,252:09,7:00,0,0,,8,67,6,6,,smithgi01
693,Givani Smith,24,FLA,RW,34,1,3,4,1,72,1,0,0,0,3,0,0,27,3.7,54,232:16,6:50,0,0,,7,63,6,6,,smithgi01
693,Givani Smith,24,DET,RW,2,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,6,19:53,9:57,0,0,,1,4,0,0,,smithgi01
694,Ty Smith,22,PIT,D,9,1,3,4,3,4,1,0,0,0,0,3,0,27,3.7,43,181:49,20:12,0,0,,4,19,4,5,,smithty01
695,Joe Snively,27,WSH,F,12,2,2,4,3,0,2,0,0,0,2,0,0,16,12.5,23,151:09,12:36,2,1,66.7,6,4,4,5,,snivejo01
696,Tyler Tucker,22,STL,D,26,1,3,4,-9,31,1,0,0,0,3,0,0,21,4.8,54,380:41,14:39,0,0,,26,50,4,9,,tuckety01
697,Yegor Zamula,22,PHI,D,14,0,4,4,0,2,0,0,0,0,4,0,0,8,0.0,21,187:24,13:23,0,0,,13,9,2,9,,zamulye01
698,Jakub Zbořil,25,BOS,D,22,1,3,4,-1,6,1,0,0,1,3,0,0,13,7.7,31,292:22,13:17,0,0,,19,31,4,5,,zborija01
699,Andrew Agozzino,32,SJS,LW,4,1,2,3,-1,0,0,0,1,0,2,0,0,9,11.1,12,65:29,16:22,1,0,100.0,4,12,0,1,,agozzan01
700,Kieffer Bellows,24,2TM,LW,28,3,0,3,-8,6,3,0,0,1,0,0,0,32,9.4,62,271:20,9:41,3,15,16.7,10,48,5,8,,belloki01
700,Kieffer Bellows,24,PHI,LW,27,3,0,3,-7,6,3,0,0,1,0,0,0,32,9.4,61,264:04,9:47,3,15,16.7,10,45,5,7,,belloki01
700,Kieffer Bellows,24,NYI,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,7:16,7:16,0,0,,0,3,0,1,,belloki01
701,Tim Berni,22,CBJ,D,59,1,2,3,-26,34,1,0,0,0,2,0,0,58,1.7,119,1000:54,16:58,0,0,,74,122,19,25,,berniti01
702,Samuel Bolduc,22,NYI,D,17,2,1,3,5,2,2,0,0,1,1,0,0,20,10.0,49,244:49,14:24,0,0,,16,26,2,13,,boldusa01
703,Guillaume Brisebois,25,VAN,D,17,1,2,3,-2,6,1,0,0,0,2,0,0,15,6.7,24,281:10,16:32,0,0,,27,11,1,6,,brisegu01
