Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,-9999
47,Devon Levi,22,BUF,23,21,10,8,2,67,666,599,.899,3.10,0,3.6,1295,10,.476,4,104,-2.62,0,0,0,0,levide01
48,Charlie Lindgren,30,WSH,50,48,25,16,7,127,1431,1304,.911,2.67,6,9.4,2852,29,.604,6,92,11.32,0,0,0,0,lindgch01
49,Ukko-Pekka Luukkonen,24,BUF,54,51,27,22,4,132,1470,1338,.910,2.57,5,9.5,3081,34,.667,6,93,10.09,0,1,1,8,luukkuk01
50,Alex Lyon,31,DET,44,43,21,18,5,127,1325,1198,.904,3.05,2,7.7,2499,22,.512,8,99,1.08,0,1,1,2,lyonal01
51,Jacob Markström,34,CGY,48,48,23,23,2,131,1379,1248,.905,2.78,2,8.2,2831,26,.542,5,98,2.30,0,5,5,0,marksja02
52,Spencer Martin,28,TOT,19,16,7,9,2,59,533,474,.889,3.30,0,2.3,1072,7,.438,5,115,-7.48,0,0,0,0,martisp01
52,Spencer Martin,28,CBJ,13,10,3,8,1,43,379,336,.887,3.65,0,1.5,707,3,.300,3,117,-6.37,0,0,0,0,martisp01
52,Spencer Martin,28,CAR,6,6,4,1,1,16,154,138,.896,2.63,0,0.8,365,4,.667,2,107,-1.11,0,0,0,0,martisp01
53,Elvis Merzļikins,29,CBJ,41,40,13,17,8,130,1266,1136,.897,3.45,1,6.5,2259,19,.475,6,106,-7.63,0,0,0,4,merzlel01
54,Sam Montembeault,27,MTL,41,40,16,15,9,127,1307,1180,.903,3.14,0,7.4,2429,28,.700,6,101,-0.66,0,2,2,0,montesa01
55,Petr Mrázek,31,CHI,56,53,18,31,4,160,1724,1564,.907,3.05,1,10.6,3153,29,.547,7,96,6.64,0,0,0,14,mrazepe01
56,Matt Murray,25,DAL,1,1,1,0,0,0,23,23,1.000,0.00,1,0.4,60,1,1.000,0,0,2.22,0,0,0,0,murrama03
57,Alex Nedeljkovic,28,PIT,38,33,18,7,7,102,1039,937,.902,2.97,1,5.8,2060,16,.485,10,102,-1.57,0,0,0,0,nedelal01
58,Jake Oettinger,25,DAL,54,53,35,14,4,140,1476,1336,.905,2.72,3,8.7,3085,29,.547,10,98,2.67,0,0,0,2,oettija01
59,Jiří Patera,24,VEG,6,5,1,3,1,21,196,175,.893,3.98,0,0.9,317,2,.400,0,111,-2.05,0,0,0,0,paterji01
60,Yaniv Perets,23,CAR,1,0,0,0,0,0,1,1,1.000,0.00,0,0.0,13,0,,0,0,0.10,0,0,0,0,peretya01
61,Calvin Petersen,29,PHI,5,4,2,2,0,18,132,114,.864,3.90,0,0.2,277,2,.500,2,141,-5.24,0,0,0,0,peterca01
62,Calvin Pickard,31,EDM,23,20,12,7,1,53,581,528,.909,2.45,1,3.7,1296,10,.500,4,94,3.16,0,0,0,2,pickaca01
63,Cayden Primeau,24,MTL,23,21,8,9,4,66,731,665,.910,2.99,2,4.7,1325,11,.524,3,93,4.66,0,2,2,2,primeca01
64,Ivan Prosvetov,24,COL,11,8,4,3,1,26,248,222,.895,3.16,0,1.2,494,4,.500,3,108,-2.03,0,0,0,0,prosviv01
65,Jonathan Quick,38,NYR,27,26,18,6,2,69,771,702,.911,2.62,2,5.0,1583,12,.462,3,93,5.53,0,1,1,8,quickjo01
66,Antti Raanta,34,CAR,24,20,12,7,2,63,493,430,.872,2.99,1,1.3,1265,8,.400,8,132,-15.35,0,0,0,0,raantan01
67,James Reimer,35,DET,25,20,11,8,2,70,727,657,.904,3.11,2,4.2,1352,9,.450,1,100,0.27,0,0,0,4,reimeja01
