Rk,,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,VEG,WPG,WSH
11,Detroit Red Wings,1-1-0,0-1-0,2-1-0,1-3-0,0-3-0,0-3-0,0-2-0,1-1-0,0-2-0,1-1-0,,1-1-0,0-3-0,0-1-1,0-2-0,4-0-0,0-3-0,1-1-0,0-3-0,0-3-0,1-2-1,0-2-0,0-2-1,1-0-1,0-0-1,1-1-0,0-3-0,0-2-0,1-0-0,1-1-0,0-1-0
12,Edmonton Oilers,1-0-1,2-1-1,1-0-1,0-0-2,1-1-0,2-0-0,1-2-1,1-2-0,1-1-0,2-0-1,1-1-0,,1-1-0,3-1-0,0-3-0,2-0-0,2-0-0,3-0-0,1-0-0,2-0-0,0-1-0,1-0-0,1-1-0,1-2-0,1-2-0,0-1-0,1-1-0,2-2-0,1-1-1,1-1-1,1-0-0
13,Florida Panthers,2-0-0,1-1-0,1-1-1,0-2-1,1-2-0,1-1-1,0-1-1,1-0-1,1-0-1,1-0-0,3-0-0,1-1-0,,1-1-0,1-1-0,2-1-0,2-0-0,2-0-0,0-2-1,2-0-0,2-0-0,1-2-0,2-1-0,2-0-0,1-0-0,1-3-0,2-1-0,1-1-0,0-2-0,0-1-0,0-1-1
14,Los Angeles Kings,1-2-0,1-2-0,1-0-0,0-2-0,0-2-0,0-1-1,3-1-0,1-1-0,2-0-1,0-1-0,2-0-0,1-3-0,1-1-0,,2-1-0,0-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-0-1,1-1-0,1-0-1,1-1-1,0-2-0,0-1-1,1-1-0,0-3-0,3-1-0,2-1-0,0-2-0
15,Minnesota Wild,2-0-1,3-0-0,0-1-1,1-0-0,0-1-1,2-0-0,1-1-1,1-1-0,2-2-0,3-1-0,2-0-0,3-0-0,1-1-0,1-2-0,,1-1-0,1-0-0,1-2-0,0-1-0,0-0-2,2-0-0,1-0-0,0-2-0,1-2-0,0-2-1,2-0-0,0-2-0,2-1-0,1-1-0,1-2-0,0-1-0
16,Montreal Canadiens,1-0-0,1-1-0,1-3-0,1-0-1,1-1-1,1-2-0,2-0-0,0-1-0,0-1-0,0-1-1,0-4-0,0-2-0,1-2-0,1-0-0,1-1-0,,1-1-1,0-1-0,2-0-0,1-2-0,3-0-1,1-0-2,1-1-1,0-1-0,2-0-0,0-4-0,3-0-0,1-0-1,2-0-0,1-1-0,2-1-0
17,New Jersey Devils,2-0-0,1-1-0,1-2-0,0-2-0,1-1-0,1-2-0,0-1-0,1-0-1,0-2-0,0-1-1,3-0-0,0-1-1,0-2-0,1-0-1,0-1-0,2-0-1,,0-1-1,1-0-1,2-2-0,2-1-0,1-1-1,1-2-0,1-0-1,1-1-0,1-0-1,0-1-1,2-0-0,0-2-0,1-0-1,2-2-0
18,Nashville Predators,1-1-1,1-1-0,1-1-0,1-1-0,1-1-0,1-0-0,2-0-1,2-1-1,0-2-0,2-2-0,1-1-0,0-3-0,0-1-1,1-1-0,2-1-0,1-0-0,2-0-0,,2-0-0,1-1-0,1-0-1,,0-2-0,2-0-1,4-0-0,1-0-1,0-1-0,0-3-0,1-1-1,2-1-0,2-0-0
19,New York Islanders,0-1-1,1-1-0,1-1-1,2-0-0,0-1-2,2-1-0,,0-1-0,1-1-0,1-1-0,3-0-0,0-1-0,3-0-0,1-1-0,1-0-0,0-2-0,1-1-0,0-2-0,,1-2-1,2-1-0,3-0-0,2-0-1,1-0-1,1-0-1,2-1-0,1-1-0,0-0-2,1-1-0,2-0-0,2-2-0
20,New York Rangers,1-0-1,0-0-1,0-2-1,1-1-0,4-0-0,2-1-0,0-1-0,1-0-0,1-0-1,1-1-0,3-0-0,0-2-0,0-1-1,1-1-0,2-0-0,2-1-0,2-2-0,1-1-0,3-1-0,,1-2-0,0-3-0,1-0-0,2-0-0,0-2-0,1-1-0,2-1-0,0-2-0,1-1-0,2-0-0,2-1-0
21,Ottawa Senators,0-1-1,1-1-0,1-2-0,3-1-0,1-1-0,1-1-1,1-1-0,0-0-1,0-2-0,1-1-0,3-0-1,1-0-0,0-2-0,1-1-0,0-2-0,1-1-2,1-0-2,1-1-0,1-2-0,2-1-0,,1-1-1,0-2-0,2-0-0,0-1-0,1-1-1,0-2-1,1-1-0,0-1-1,0-2-0,0-2-0
22,Philadelphia Flyers,2-0-0,0-2-0,2-1-0,2-0-0,3-0-1,4-0-0,0-1-1,2-0-0,1-1-0,0-1-0,2-0-0,0-1-0,2-1-0,1-1-0,0-1-0,2-1-0,2-1-0,,0-2-1,3-0-0,2-1-0,,1-1-1,1-1-0,1-0-0,0-2-0,2-0-1,1-0-1,1-1-0,1-1-0,3-0-1
23,Pittsburgh Penguins,1-1-0,2-0-0,1-2-0,1-2-0,0-1-0,2-1-0,2-0-0,1-0-0,2-0-0,2-0-0,3-0-0,1-0-1,1-2-0,1-1-0,2-0-0,2-1-0,2-1-0,2-0-0,1-0-2,0-0-1,2-0-0,2-1-0,,0-1-1,1-1-0,0-2-1,2-1-0,1-1-0,1-1-0,1-1-0,1-2-0
24,San Jose Sharks,2-1-0,1-2-0,0-1-0,0-1-1,1-0-1,2-0-0,2-1-0,2-1-0,0-2-0,1-0-0,1-1-0,2-1-0,0-2-0,2-0-1,2-1-0,1-0-0,1-1-0,1-2-0,1-1-0,0-2-0,0-1-1,1-1-0,2-0-0,,0-2-0,0-2-0,1-1-0,1-3-0,1-3-0,1-2-0,0-1-1
25,St. Louis Blues,2-1-0,1-1-1,0-1-0,1-1-0,1-0-0,1-0-1,3-0-0,4-0-0,2-2-0,4-0-1,1-0-0,2-1-0,0-1-0,2-0-0,3-0-0,0-2-0,1-1-0,0-3-1,1-0-1,2-0-0,1-0-0,0-0-1,1-1-0,2-0-0,,2-0-0,1-1-0,1-1-1,1-0-2,2-2-0,0-0-1
26,Tampa Bay Lightning,2-0-0,1-1-0,3-1-0,4-0-0,1-1-1,1-0-0,1-0-0,1-1-0,1-1-0,0-0-2,1-0-1,1-0-0,3-1-0,2-0-0,0-2-0,4-0-0,1-1-0,1-0-1,1-2-0,1-1-0,2-1-0,2-0-0,3-0-0,2-0-0,0-2-0,,1-2-0,1-0-0,1-1-0,1-1-0,0-2-1
27,Toronto Maple Leafs,1-1-0,2-0-0,1-2-0,2-2-0,1-1-0,1-0-1,0-1-1,0-2-0,1-1-0,1-1-0,3-0-0,1-1-0,1-2-0,1-0-1,2-0-0,0-1-2,2-0-0,1-0-0,1-1-0,1-1-1,3-0-0,1-1-1,1-2-0,1-1-0,1-1-0,2-1-0,,2-0-0,1-1-0,1-0-1,0-1-1
28,Vancouver Canucks,0-1-1,1-1-0,1-1-0,2-0-0,1-0-1,0-2-0,1-2-0,2-1-0,1-0-1,0-2-0,2-0-0,2-2-0,1-1-0,3-0-0,1-1-1,1-1-0,0-2-0,3-0-0,2-0-0,2-0-0,1-1-0,1-1-0,1-1-0,3-1-0,2-0-1,0-1-0,0-2-0,,1-1-0,0-2-0,1-0-1
29,Vegas Golden Knights,3-1-0,2-1-0,0-2-0,1-1-0,1-0-1,1-1-0,3-0-0,2-1-0,0-2-0,1-1-0,0-1-0,2-1-0,2-0-0,1-3-0,1-1-0,0-0-2,2-0-0,2-1-0,1-0-1,1-1-0,2-0-0,1-1-0,1-1-0,3-0-1,2-1-0,1-1-0,1-0-1,1-0-1,,0-1-1,1-1-0
30,Winnipeg Jets,2-1-0,1-1-0,0-2-0,1-1-0,0-2-0,1-1-0,1-0-0,3-2-0,1-1-0,2-1-1,1-1-0,2-1-0,1-0-0,1-2-0,2-0-1,1-1-0,1-0-1,1-1-1,0-2-0,0-2-0,2-0-0,1-1-0,1-1-0,2-1-0,2-1-1,1-1-0,1-1-0,2-0-0,2-0-0,,1-0-1
31,Washington Capitals,2-0-0,0-1-1,2-1-0,1-0-1,2-1-1,1-2-0,2-0-0,1-0-0,1-1-0,1-0-1,1-0-0,0-0-1,2-0-0,2-0-0,1-0-0,1-1-1,2-2-0,0-2-0,2-2-0,1-1-1,2-0-0,1-3-0,2-1-0,2-0-0,1-0-0,3-0-0,2-0-0,1-0-1,1-1-0,1-1-0,
